symbol,value
˜,0
“,1
„,2
‹,3
Œ,4
‘,5
‰,6
œ,7
œ,8
‘,9
‡,10
‰,11
ƒ,12
–,13
‚,14
†,15
ƒ,16
Ž,17
œ,18
’,19
Ÿ,20
–,21
˜,22
—,23
Ž,24
…,25
Š,26
€,27
–,28
‚,29
Ÿ,30
Ÿ,31
›,32
™,33
”,34
‡,35
ƒ,36
‡,37
‹,38
˜,39
€,40
Œ,41
‚,42
—,43
Œ,44
—,45
š,46
Œ,47
›,48
—,49
‰,50
…,51
‹,52
Ž,53
›,54
‰,55
—,56
Š,57
…,58
›,59
Œ,60
„,61
‘,62
™,63
€,64
Š,65
Ÿ,66
†,67
–,68
œ,69
œ,70
œ,71
—,72
Œ,73
—,74
™,75
‘,76
…,77
Ž,78
†,79
œ,80
—,81
ž,82
„,83
ˆ,84
œ,85
˜,86
‰,87
…,88
‘,89
˜,90
–,91
œ,92
†,93
‚,94
”,95
…,96
…,97
™,98
Ž,99
—,100
„,101
‡,102
Ÿ,103
†,104
…,105
ž,106
‡,107
‹,108
‹,109
œ,110
Œ,111
Š,112
’,113
Ž,114
…,115
ž,116
Š,117
ƒ,118
ƒ,119
‡,120
”,121
†,122
Ž,123
‡,124
€,125
„,126
Š,127
€,128
–,129
‚,130
„,131
‡,132
Œ,133
™,134
Š,135
›,136
„,137
˜,138
€,139
Š,140
…,141
™,142
ˆ,143
ˆ,144
Œ,145
ˆ,146
„,147
Š,148
‰,149
Ÿ,150
“,151
š,152
ˆ,153
€,154
‹,155
ž,156
€,157
”,158
š,159
š,160
›,161
€,162
•,163
ˆ,164
‘,165
ˆ,166
€,167
™,168
•,169
Ž,170
†,171
š,172
”,173
Š,174
‘,175
›,176
‰,177
€,178
–,179
“,180
…,181
—,182
‰,183
…,184
Š,185
Š,186
˜,187
–,188
Ÿ,189
›,190
Œ,191
”,192
—,193
™,194
€,195
‡,196
Š,197
™,198
˜,199
›,200
˜,201
Œ,202
—,203
Ž,204
—,205
ˆ,206
œ,207
…,208
†,209
–,210
‘,211
›,212
œ,213
Ÿ,214
‹,215
”,216
˜,217
†,218
‰,219
˜,220
—,221
™,222
‹,223
ƒ,224
Œ,225
€,226
š,227
‰,228
˜,229
•,230
‚,231
–,232
‰,233
‚,234
–,235
š,236
‚,237
ž,238
Š,239
„,240
Ž,241
‰,242
€,243
—,244
…,245
”,246
“,247
‰,248
‘,249
ˆ,250
…,251
‚,252
‹,253
˜,254
Ž,255
…,256
œ,257
Œ,258
–,259
Ÿ,260
™,261
ž,262
Š,263
“,264
…,265
›,266
–,267
‚,268
˜,269
‡,270
‰,271
‹,272
˜,273
š,274
„,275
˜,276
„,277
…,278
’,279
„,280
•,281
–,282
ˆ,283
›,284
ž,285
“,286
Ÿ,287
€,288
•,289
Ž,290
‘,291
–,292
ž,293
ž,294
•,295
‚,296
‰,297
‰,298
›,299
™,300
—,301
ƒ,302
–,303
“,304
‰,305
“,306
›,307
‘,308
™,309
ž,310
—,311
…,312
”,313
…,314
—,315
Ÿ,316
ˆ,317
‡,318
•,319
Ž,320
Ÿ,321
›,322
Œ,323
‰,324
ƒ,325
‘,326
„,327
‹,328
–,329
„,330
“,331
†,332
—,333
ž,334
‚,335
€,336
”,337
Ÿ,338
™,339
˜,340
Š,341
”,342
—,343
‘,344
ˆ,345
“,346
›,347
œ,348
˜,349
„,350
Ÿ,351
‡,352
…,353
…,354
š,355
”,356
ž,357
€,358
˜,359
–,360
‹,361
‘,362
ˆ,363
‹,364
Ÿ,365
•,366
‡,367
”,368
€,369
“,370
Œ,371
Š,372
ž,373
œ,374
Š,375
š,376
š,377
ˆ,378
ƒ,379
„,380
—,381
’,382
˜,383
†,384
š,385
‘,386
”,387
†,388
˜,389
‚,390
™,391
‡,392
ˆ,393
‚,394
”,395
›,396
”,397
‘,398
š,399
‚,400
Ÿ,401
‰,402
‘,403
‡,404
Œ,405
š,406
‰,407
†,408
›,409
—,410
—,411
Š,412
„,413
˜,414
˜,415
™,416
˜,417
‹,418
•,419
“,420
•,421
—,422
„,423
Œ,424
†,425
’,426
Ž,427
”,428
„,429
–,430
œ,431
„,432
’,433
–,434
œ,435
…,436
…,437
ˆ,438
’,439
ˆ,440
ž,441
‡,442
•,443
™,444
€,445
Š,446
‘,447
–,448
œ,449
˜,450
ž,451
†,452
Š,453
‹,454
Œ,455
™,456
ƒ,457
”,458
š,459
‚,460
“,461
”,462
†,463
œ,464
•,465
‡,466
ƒ,467
”,468
Ž,469
—,470
ž,471
‰,472
Š,473
š,474
›,475
‹,476
’,477
—,478
ˆ,479
„,480
ž,481
…,482
Œ,483
‘,484
ž,485
–,486
€,487
“,488
‰,489
Œ,490
”,491
ƒ,492
Ÿ,493
˜,494
’,495
“,496
”,497
ƒ,498
‰,499
